k1             a1             c1             k2             a2             c2             k3             a3             c3             gamma1         gamma2         LogPost        b1             b2             b3             
   0.189856E+00   0.418267E+01   0.150737E+01   0.340319E+00   0.127782E+02   0.168444E+01   0.955767E+00    0.11348E+02   0.165882E+01   0.132978E-01   0.283298E-01   0.662575E+02   0.189856E+00   0.245704E+00   0.955767E+00
   0.178101E+00   0.406507E+01   0.156318E+01   0.339944E+00   0.126962E+02   0.166846E+01   0.889953E+00   0.123833E+02   0.171446E+01   0.431576E-02   0.409267E-01   0.680289E+02   0.178101E+00   0.248205E+00   0.889953E+00
   0.179215E+00   0.403705E+01   0.154596E+01     0.3378E+00    0.12939E+02   0.167087E+01   0.908527E+00     0.1528E+02   0.166269E+01   0.573019E-02   0.474799E-01   0.704766E+02   0.179215E+00   0.247163E+00   0.908527E+00
   0.185877E+00   0.398815E+01    0.15039E+01   0.342198E+00   0.132263E+02     0.1654E+01   0.102285E+01   0.103216E+02   0.161922E+01   0.913435E-02    0.24032E-01   0.637831E+02   0.185877E+00   0.252586E+00   0.102285E+01
   0.191802E+00   0.414338E+01   0.147714E+01   0.343552E+00   0.124049E+02   0.166864E+01    0.94968E+00   0.111169E+02    0.16701E+01   0.716118E-02   0.441624E-01   0.668209E+02   0.191802E+00   0.245896E+00    0.94968E+00
   0.172783E+00   0.337491E+01   0.150557E+01    0.33414E+00   0.128044E+02   0.166561E+01   0.963347E+00   0.991199E+01   0.166649E+01   0.161134E-02   0.770606E-01   0.701794E+02   0.172783E+00   0.247797E+00   0.963347E+00
   0.173589E+00   0.378273E+01   0.154658E+01   0.339726E+00     0.1266E+02    0.16382E+01   0.952553E+00   0.748218E+01   0.167774E+01   0.557433E-02     0.2575E-01   0.692682E+02   0.173589E+00    0.25186E+00   0.952553E+00
   0.178895E+00   0.405363E+01    0.15341E+01   0.342005E+00   0.124683E+02   0.162753E+01   0.953378E+00   0.124452E+02   0.167234E+01   0.361086E-02   0.593325E-01   0.691316E+02   0.178895E+00   0.251249E+00   0.953378E+00
   0.174363E+00   0.346793E+01   0.149384E+01   0.332384E+00   0.126463E+02    0.17184E+01   0.880436E+00   0.171373E+02   0.164387E+01   0.435534E-02   0.419989E-01   0.685927E+02   0.174363E+00   0.237665E+00   0.880436E+00
   0.168859E+00   0.297828E+01   0.148074E+01   0.330216E+00   0.130888E+02   0.169052E+01   0.821611E+00   0.166317E+02   0.168526E+01   0.860542E-02   0.621011E-01   0.628946E+02   0.168859E+00   0.245926E+00   0.821611E+00
   0.161348E+00   0.245078E+01   0.149769E+01   0.293616E+00   0.107386E+02   0.167446E+01   0.959975E+00   0.161257E+02    0.16598E+01   0.637291E-02   0.507675E-01   0.648847E+02   0.161348E+00   0.225851E+00   0.959975E+00
   0.163985E+00   0.265819E+01    0.14929E+01   0.307645E+00   0.111328E+02   0.165434E+01   0.944011E+00   0.143224E+02   0.169733E+01   0.301173E-02   0.510017E-01   0.697942E+02   0.163985E+00   0.234602E+00   0.944011E+00
   0.164249E+00    0.30829E+01   0.153216E+01   0.314757E+00   0.108545E+02   0.166248E+01   0.914765E+00   0.107848E+02   0.166062E+01   0.232454E-02   0.624808E-01   0.707951E+02   0.164249E+00    0.23287E+00   0.914765E+00
   0.167081E+00   0.273673E+01   0.149071E+01   0.312151E+00   0.115815E+02   0.167977E+01   0.841398E+00   0.119981E+02   0.167475E+01   0.602318E-03    0.87424E-01   0.694412E+02   0.167081E+00   0.235775E+00   0.841398E+00
   0.165473E+00   0.300239E+01   0.154011E+01   0.322731E+00   0.119079E+02   0.166264E+01   0.893781E+00   0.135475E+02   0.170699E+01   0.107574E-02   0.108819E+00   0.638705E+02   0.165473E+00   0.244039E+00   0.893781E+00
   0.171784E+00   0.340817E+01   0.154487E+01   0.316084E+00   0.121127E+02   0.167752E+01   0.943153E+00   0.217387E+02   0.170239E+01   0.266135E-02   0.457247E-01   0.652866E+02   0.171784E+00   0.237115E+00   0.943153E+00
   0.164567E+00   0.317489E+01   0.154154E+01   0.320766E+00   0.123121E+02   0.169755E+01     0.8838E+00    0.11599E+02    0.16807E+01   0.420957E-02   0.492215E-01   0.698539E+02   0.164567E+00    0.23739E+00     0.8838E+00
   0.167763E+00   0.304657E+01   0.150649E+01   0.322398E+00   0.124076E+02   0.168316E+01   0.936112E+00   0.946121E+01   0.167938E+01   0.123481E-02   0.615389E-01   0.723057E+02   0.167763E+00   0.240729E+00   0.936112E+00
   0.175989E+00   0.373858E+01   0.152688E+01   0.336374E+00   0.129922E+02   0.168821E+01   0.879117E+00   0.123294E+02   0.167913E+01   0.249438E-02   0.550777E-01   0.714067E+02   0.175989E+00   0.245031E+00   0.879117E+00
   0.178048E+00   0.398105E+01   0.154103E+01   0.335811E+00   0.124806E+02   0.168009E+01   0.908829E+00   0.920672E+01   0.167429E+01   0.456843E-02    0.45347E-01    0.71244E+02   0.178048E+00   0.242695E+00   0.908829E+00
   0.167432E+00   0.331335E+01   0.151289E+01   0.334631E+00   0.123269E+02   0.168417E+01   0.880205E+00   0.865546E+01   0.170369E+01   0.617041E-02   0.847346E-01   0.633186E+02   0.167432E+00   0.242705E+00   0.880205E+00
   0.180801E+00   0.367605E+01   0.148892E+01   0.335071E+00   0.126163E+02   0.166985E+01   0.974226E+00   0.119737E+02   0.164989E+01   0.346411E-02   0.598238E-01   0.694593E+02   0.180801E+00   0.244806E+00   0.974226E+00
   0.176129E+00   0.333145E+01   0.148943E+01   0.327776E+00   0.115799E+02   0.166545E+01    0.90587E+00   0.132131E+02   0.167028E+01   0.366196E-02   0.488596E-01   0.707519E+02   0.176129E+00    0.24017E+00    0.90587E+00
   0.173487E+00   0.333019E+01   0.152516E+01   0.324509E+00   0.127503E+02   0.169619E+01   0.947758E+00   0.174157E+02    0.16394E+01   0.541322E-02   0.570612E-01    0.67735E+02   0.173487E+00     0.2417E+00   0.947758E+00
    0.17937E+00   0.394561E+01    0.15166E+01   0.343115E+00   0.128305E+02   0.166117E+01   0.954923E+00   0.198661E+02   0.164181E+01   0.629918E-02   0.317464E-01   0.693813E+02    0.17937E+00   0.248869E+00   0.954923E+00
   0.177391E+00    0.35512E+01   0.147786E+01   0.336204E+00   0.127473E+02   0.168998E+01   0.813256E+00   0.151673E+02   0.169538E+01   0.633232E-02   0.428783E-01    0.67105E+02   0.177391E+00   0.242285E+00   0.813256E+00
   0.176772E+00   0.392533E+01   0.153282E+01   0.334006E+00   0.123926E+02   0.170777E+01   0.893363E+00   0.136433E+02   0.172683E+01   0.252388E-02   0.514163E-01   0.669981E+02   0.176772E+00   0.237068E+00   0.893363E+00
    0.16882E+00    0.32326E+01   0.150586E+01   0.328246E+00    0.12636E+02   0.168596E+01   0.939841E+00   0.193997E+02    0.16948E+01   0.314374E-02   0.358156E-01   0.680343E+02    0.16882E+00   0.241834E+00   0.939841E+00
   0.168587E+00   0.345097E+01   0.155154E+01   0.327383E+00   0.120746E+02   0.166232E+01   0.935716E+00   0.104513E+02   0.171291E+01   0.514579E-03   0.526577E-01   0.691332E+02   0.168587E+00   0.242877E+00   0.935716E+00
   0.177152E+00   0.407539E+01   0.156521E+01   0.329706E+00   0.114383E+02   0.163704E+01    0.92286E+00   0.113225E+02   0.167255E+01   0.701301E-02   0.570763E-01   0.661187E+02   0.177152E+00   0.241505E+00    0.92286E+00
   0.182615E+00   0.409149E+01   0.153779E+01   0.334935E+00    0.11774E+02   0.166705E+01   0.851465E+00   0.167989E+02   0.165554E+01    0.74649E-02   0.141964E-01   0.673504E+02   0.182615E+00   0.241447E+00   0.851465E+00
   0.168695E+00   0.293789E+01   0.149902E+01   0.318165E+00   0.111942E+02   0.163833E+01   0.915068E+00   0.193818E+02    0.16647E+01   0.161996E-02    0.55551E-01   0.701204E+02   0.168695E+00   0.240516E+00   0.915068E+00
   0.165637E+00   0.280267E+01   0.148629E+01   0.314248E+00   0.114634E+02   0.165813E+01   0.927726E+00   0.948476E+01   0.171996E+01     0.8458E-02   0.484795E-01   0.657074E+02   0.165637E+00   0.236816E+00   0.927726E+00
    0.16627E+00   0.303424E+01   0.151359E+01   0.309403E+00   0.111556E+02   0.166615E+01   0.878807E+00   0.138361E+02   0.169054E+01   0.591999E-02   0.508504E-01   0.674617E+02    0.16627E+00   0.231118E+00   0.878807E+00
